Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load
0.62,808.5,367.5,220.5,3.5,1.6989999999999998,0.1,6.5489999999999995,12.8
0.82,612.5,318.5,147.0,7.0,3.232,0.1,1.5659999999999998,23.53
0.82,612.5,318.5,147.0,7.0,2.917,0.1,0.563,22.79
0.82,612.5,318.5,147.0,7.0,2.377,0.4,1.109,28.01
0.79,637.0,343.0,147.0,7.0,0.3560000000000001,0.0,1.607,28.52
0.76,661.5,416.5,122.5,7.0,4.144,0.4,3.4859999999999998,39.31
0.82,612.5,318.5,147.0,7.0,-0.04400000000000004,0.25,1.967,25.98
0.66,759.5,318.5,220.5,3.5,2.4859999999999998,0.4,7.822,14.92
0.9,563.5,318.5,122.5,7.0,0.7110000000000001,0.25,3.05,32.67
0.66,759.5,318.5,220.5,3.5,0.958,0.25,1.048,12.93
0.86,588.0,294.0,147.0,7.0,4.542,0.1,1.16,26.28
0.62,808.5,367.5,220.5,3.5,4.253,0.25,0.7150000000000001,15.16
0.74,686.0,245.0,220.5,3.5,4.41,0.4,5.4670000000000005,14.44
0.86,588.0,294.0,147.0,7.0,1.319,0.4,4.105,32.38
0.69,735.0,294.0,220.5,3.5,1.0150000000000001,0.4,7.629,14.37
0.76,661.5,416.5,122.5,7.0,7.427,0.0,-0.483,23.93
0.86,588.0,294.0,147.0,7.0,6.513999999999999,0.25,0.5249999999999999,29.43
